 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	180.011	510
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	180.106	510
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0023812	120
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0020415	115
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0019004	115
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0019849	115
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0018834	115
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0020065	115
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0035666	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0035019	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0038437	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0039714	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0027266	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0030968	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0008749	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0028398	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0026593	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0028595	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0028114	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0029581	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0043272	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.11692	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.116479	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0041528	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0063095	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.303832	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	4.8004	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0164704	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0168095	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	1.1642	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	4.86506	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.133163	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	5.00846	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.145429	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	4.97878	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	5.13769	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	1.30432	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.132679	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0176979	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0029644	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0013963	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0015671	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0030824	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.190783	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.571951	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.114843	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.116891	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0147143	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.164946	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.169751	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0021885	102
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0045122	2010
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0057743	2010
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0005899	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0055963	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0044357	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0041514	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.007404	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.259683	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.256657	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.26283	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0077151	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.010107	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0108239	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0939416	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0890795	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0923941	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0943285	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0906388	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0230096	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0237082	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0369532	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0368719	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0376193	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.037875	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0375662	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0382994	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0378897	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0377941	66
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0390391	66
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0422918	54
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.042574	54
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0436675	54
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0158014	54
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0179285	54
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0182881	120
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0148591	138
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0159469	138
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0153811	138
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0157	138
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0153611	138
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.017138	120
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0163796	120
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0170777	103
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0169977	103
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0146614	138
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0166976	120
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0162083	120
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0189334	120
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0178195	102
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0176163	114
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0176889	102
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0514626	102
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.050645	102
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0505739	144
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.052835	114
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.049543	114
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst2.txt	0.0505854	114
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst13.txt	0.0150942	52
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst15.txt	0.0290033	39
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst15.txt	0.0295082	39
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0159527	12
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.020953	26
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0191704	26
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0189656	26
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	7.93252	71
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	1.60413	76
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	2.60353	35
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	31.9939	52
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.655599	71
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	9.11283	64
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0250637	83
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst16.txt	0.0057778	83
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst13.txt	0.001046	49
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst1.txt	0.0011491	24
../Format Etudiant Public/Inst2.txt	0.0010541	12
../Format Etudiant Public/Inst3.txt	0.0009965	12
../Format Etudiant Public/Inst4.txt	0.001683	54
../Format Etudiant Public/Inst5.txt	0.0015577	36
../Format Etudiant Public/Inst6.txt	0.0015956	30
../Format Etudiant Public/Inst7.txt	0.00198	66
../Format Etudiant Public/Inst8.txt	0.0023459	96
../Format Etudiant Public/Inst9.txt	0.0025846	96
../Format Etudiant Public/Inst10.txt	0.0024597	96
../Format Etudiant Public/Inst11.txt	0.0024137	114
../Format Etudiant Public/Inst12.txt	0.0029461	200
../Format Etudiant Public/Inst13.txt	0.0012057	49
../Format Etudiant Public/Inst14.txt	0.0011148	29
../Format Etudiant Public/Inst15.txt	0.0010964	29
../Format Etudiant Public/Inst16.txt	0.0026068	83
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0027046	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.002909	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0025198	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0037812	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0038956	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0042864	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0044337	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0040791	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0045902	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0168497	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.018463	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0167313	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0178219	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0340064	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0029389	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0025542	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0323671	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0337056	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0088559	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0207035	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0093359	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0119997	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0093749	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0090686	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0094063	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0097375	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0070067	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0076426	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0070413	0
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0076937	0
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.051373	1306
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0645578	1306
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0593293	1306
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0607364	1306
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0141779	85
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0089865	85
 Fichier données	 Tps de résolution 	 Best solution
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0079035	98
 Fichier données	 Tps de résolution 	 Best solution
../Format Etudiant Public/Inst17.txt	0.0075407	98
